69-URBANI1-AV,205,CONTENEDOR METALICO PARA EXTERIOR URBANI 1,69-URBANI1-AV
70-URBANI2-AV,205,CONTENEDOR DE ACERO PARA BASURA URBANI 2,70-URBANI2-AV
71-LISBOA-AV,205,CONTENEDOR PARA BASURA DE PARQUES LISBOA,71-LISBOA-AV
72-PISA1-AV,205,CONTENEDOR DE BASURA DE ACERO PISA,72-PISA1-AV
73-PIISADB-AV,205,CONTENEDORES PARA EXTERIOR PISA DOBLE,73-PIISADB-AV
74-URBANI5-AV,205,CONTENEDOR PARA EXTERIOR URBANI 5,74-URBANI5-AV
75-URBANI6-AV,205,BOTE PARA BASURA DE ACERO URBANI 6,75-URBANI6-AV
76-BTINON1-AV,205,BOTE DE METAL PARA BASURA IN-ON 1,76-BTINON1-AV
77-BTINON2-AV,205,BOTE PARA BASURA DE MUNICIPIOS IN-ON 2,77-BTINON2-AV
78-URBANI7-AV,205,CONTENEDOR PARA BASURA DE ACERO URBANI 7,78-URBANI7-AV
79-URBANI8-AV,205,CONTENEDOR DE BASURA URBANI 8,79-URBANI8-AV
80-URBANI9-AV,205,CONTENEDOR DE BASURA METALICO URBANI 9,80-URBANI9-AV
81-URBAN10-AV,205,CONTENEDOR DE ACERO PARA BASURA URBANI 10,81-URBAN10-AV
82-URBAN11-AV,205,CONTENEDORES DE BASURA DE ACERO URBANI 11,82-URBAN11-AV
83-RVLLO2-AV,205,BOTE PARA BASURA DE METAL RAVELLO 2,83-RVLLO2-AV
84-VIA1-AV,205,CONTENEDOR METALICO PARA EXTERIOR VIA ,84-VIA1-AV
85-DB3660-AV,205,CONTENEDORES PARA EXTERIOR PARQUE DOBLE,85-DB3660-AV
86-S3660-AV,205,CONTENEDOR DE ACERO PARQUE SENCILLO,86-S3660-AV
87-PACHDB-AV,205,CONTENEDOR PARA EXTERIOR PACHUCA DOBLE,87-PACHDB-AV
88-PACHSN-AV,205,CONTENEDOR METALICO PACHUCA SENCILLO,88-PACHSN-AV
89-BRCNAR-AV,205,BOTE PARA BASURA DE METAL BARCELONA SENCILLO CON ARCO,89-BRCNAR-AV
90-BRCNRC-AV,205,BOTE PARA BASURA DE METAL BARCELONA DOBLE ORGANICO E INORGANICO,90-BRCNRC-AV
91-BRC80CL-AV,205,BOTE PARA BASURA DE METAL BARCELONA 80 LT CON SEÑALIZACIÓN,91-BRC80CL-AV
92-BRCNA80-AV,205,BOTE PARA BASURA DE METAL BARCELONA 80 LT,92-BRCNA80-AV
